Date,Open,High,Low,Close,Volume,Change
2020-01-02,140000,141500,138500,139000,102519,-0.0071428571428571175
2020-01-03,141000,143000,138000,139500,111592,0.003597122302158251
2020-01-06,138500,142500,136000,142000,110591,0.017921146953405076
2020-01-07,142500,143000,139500,141000,144046,-0.007042253521126751
2020-01-08,139000,139500,135500,137500,239490,-0.024822695035460973
2020-01-09,139500,145500,139500,145500,293629,0.05818181818181811
2020-01-10,146000,151000,145000,148500,195372,0.020618556701030855
2020-01-13,148000,154000,147000,154000,201631,0.03703703703703698
2020-01-14,154500,155000,150000,151000,171277,-0.01948051948051943
2020-01-15,150000,151500,146500,148000,220402,-0.019867549668874163
2020-01-16,147000,149000,146000,147500,123212,-0.0033783783783783994
2020-01-17,149500,151000,147500,148500,115438,0.006779661016949046
2020-01-20,149500,151500,147500,147500,124661,-0.006734006734006703
2020-01-21,148500,149500,147000,148000,89682,0.003389830508474523
2020-01-22,148000,148500,145500,148000,110366,0.0
2020-01-23,147000,153500,146000,152500,173243,0.030405405405405483
2020-01-28,147000,153000,146000,151500,234923,-0.006557377049180357
2020-01-29,154500,160000,154500,158000,388880,0.04290429042904287
2020-01-30,160000,163500,154000,155500,360798,-0.015822784810126556
2020-01-31,156500,158500,151000,152000,245518,-0.022508038585209
2020-02-03,149000,151000,142500,150500,353483,-0.009868421052631526
2020-02-04,148000,155000,147500,155000,350711,0.029900332225913706
2020-02-05,156000,161000,151000,152000,311516,-0.01935483870967747
2020-02-06,154000,157500,151000,156000,218885,0.026315789473684292
2020-02-07,153500,154500,150000,150500,218071,-0.03525641025641024
2020-02-10,148500,148500,144000,147000,259021,-0.023255813953488413
2020-02-11,149500,152500,148500,151000,216251,0.027210884353741527
